source,target
translate ASL to English: WHAT COME,What will come?
translate ASL to English: LETTER WANT,I want this letter registered.
translate ASL to English: LETTER WANT,I want to have this letter registered.
translate ASL to English: LETTER HAVE,This letter has to be sent right away.
translate ASL to English: SIGNATURE LETTER BEAR,This letter bears no signature.
translate ASL to English: IT PLAY HAVE,This play has no humor in it.
translate ASL to English: REQUIREMENTS WORK MEET,This work does not meet our requirements.
translate ASL to English: GIVE MATERIAL HAVE,This material has no give.
translate ASL to English: PLAY END,This play has ended.
translate ASL to English: FISH DO,This fish is done.
translate ASL to English: HEATING SCHOOL HAVE,This school has no heating.
translate ASL to English: STUDENTS SCHOOL HAVE,This school has many students.
translate ASL to English: WHAT CHAIR COST,What would it cost to have this chair repaired?
translate ASL to English: HOTEL BUILD,This hotel was built last year.
translate ASL to English: TABLE RESERVE,This table is reserved.
translate ASL to English: SHIRT YOU NEED,You need to wash this shirt.
translate ASL to English: SHIRT COLOR HOLD,The color of the shirt held fast.
translate ASL to English: TIE SHIRT GO,This shirt doesn't go with that tie at all.
translate ASL to English: JACKET I LIKE,I don't like this jacket.
translate ASL to English: WORK COMPUTER COPE,This computer can cope with much work.
translate ASL to English: WHISKY YOU LIKE,How do you like this whisky?
translate ASL to English: YEARS COOK SERVE,The cook served the family for many years.
translate ASL to English: PAPER WHO PUT,Who put this paper here?
translate ASL to English: HOT I LIKE,I like coffee hot.
translate ASL to English: HELP MAN CRY,The injured man cried for help.
translate ASL to English: COOKIES WHO EAT,Who has eaten all the cookies?
translate ASL to English: YOU YOU HELP,Go to those who you are sure will help you.
translate ASL to English: GUITAR YOU TELL,Will you tell me how to play the guitar?
translate ASL to English: CAFETERIA I LIKE,I'd like to work at the cafeteria.
translate ASL to English: CLOTHES I WEAR,I wear cool clothes and cool sunglasses.
translate ASL to English: BAGS YOU WANT,How many bags do you want to check?
translate ASL to English: IT YOU DO,You did it all right.
translate ASL to English: YOU LIKE,How would you like to pay?
translate ASL to English: THEM YOU LIKE,How would you like them?
translate ASL to English: IT YOU LIKE,How would you like it?
translate ASL to English: I LIKE,"I'd like to say yes, but..."
translate ASL to English: JUICE I LIKE,I'd like orange juice.
translate ASL to English: SCHOOL CHILDREN GO,Our children all go to the local school.
translate ASL to English: CARROTS RABBITS LIKE,Rabbits like to eat carrots.
translate ASL to English: WE HAVE,"No, we have to go now."
translate ASL to English: HAIRCUT YOU HAVE,You need not have a haircut right now.
translate ASL to English: MAN DOG GROWL,The dog growled at the strange man.
translate ASL to English: DOG RUN,A dog was running.
translate ASL to English: TRUTH YOU HAVE,You don't have to tell the truth all the time.
translate ASL to English: IT I SAY,I say it all the time.
translate ASL to English: MEDICINE YOU RECOMMEND,What medicine do you recommend?
translate ASL to English: YOU NEED,"No, you need not."
translate ASL to English: YOU GO,"No, you needn't go right now."
translate ASL to English: BUS I GO,"No, I will go by bus."
translate ASL to English: TENNIS I PLAY,"No, but I play tennis."
translate ASL to English: FRIENDS ANN HAVE,Ann had no friends to play with.
translate ASL to English: AMERICA I HAVE,I have no time to go to America.
translate ASL to English: HELP REFUGEES SEEK,Refugees in Africa are seeking help.
translate ASL to English: HELP WHO NEED,Those who are suffering from hunger in Africa need urgent help.
translate ASL to English: MAIDS LADY WANT,How many maids does that lady want to employ?
translate ASL to English: WHAT MAN TELL,Tell me what that man is like.
translate ASL to English: WOMAN RUN,How that woman runs on!
translate ASL to English: ACCIDENT KNOW,Do you know what time that accident happened?
translate ASL to English: TAIL DOG HAVE,That dog has a short tail.
translate ASL to English: MOVIE YOU LIKE,How did you like that movie?
translate ASL to English: BUILDING MAN LIVE,No man lives in the building.
translate ASL to English: FOOT YOU GO,Do you go to school on foot?
translate ASL to English: YOU STUDY,You will study.
translate ASL to English: AIR YOU NEED,You need a change of air.
translate ASL to English: BREAKFAST YOU DO,What do you do before breakfast?
translate ASL to English: COLLEGE YOU WANT,What do you want to study at college?
translate ASL to English: BASKETBALL YOU PLAY,Do you play basketball well?
translate ASL to English: SCHOOL YOU GO,Did you go to school yesterday?
translate ASL to English: CATS YOU LIKE,Do you like black cats?
translate ASL to English: YOU NEED,You don't need to go.
translate ASL to English: AFTERNOON YOU WANT,What do you want to do in the afternoon?
translate ASL to English: SCHOOL YOU GO,You go to school.
translate ASL to English: BED YOU HAVE,What time will you have to go to bed?
translate ASL to English: WHAT YOU LIKE,What would you like to do?
translate ASL to English: YOU BE,There is no need for you to go yet.
translate ASL to English: BUS YOU GO,Do you go to school by bus?
translate ASL to English: LANGUAGE YOU STUDY,What do you study a foreign language for?
translate ASL to English: YOU GO,You need not go there.
translate ASL to English: YOU GO,What time do you go home?
translate ASL to English: FRIEND GO,What time did your friend go home?
translate ASL to English: YOU LIKE,I'd like for you to go.
translate ASL to English: RIGHT YOU HAVE,You have no right to go there.
translate ASL to English: MANY YOU TAKE,Take as many as you want.
translate ASL to English: WHAT ME TELL,Tell me what you want me to do.
translate ASL to English: REST TIME DO,Time will do the rest.
translate ASL to English: THIS WE HAVE,How much time do we have to finish this?
translate ASL to English: WOMAN STAND,Who is the woman standing there?
translate ASL to English: WRONG FELLOW TELL,That fellow can't tell right from wrong.
translate ASL to English: I HAVE,"Well, I have to go now."
translate ASL to English: FIVE I WANT,I want to finish this work by five.
translate ASL to English: ELEVEN I GO,I go to bed at eleven.
translate ASL to English: HAT MAN ASK,I asked her who the man wearing the white hat was.
translate ASL to English: SHE CRY,"Help, help, she cried."
translate ASL to English: LEE SAY,"Yes, all right, says Mrs. Lee."
translate ASL to English: IT TONY HAVE,Yes. Tony had it.
translate ASL to English: YOU ALL GO,All will go except you.
translate ASL to English: TIME PLAY BEGIN,The play began exactly on time.
translate ASL to English: IT I TAKE,All right. I'll take it.
translate ASL to English: BLOOD TELL,Blood will tell.
translate ASL to English: DOG KEN HAVE,Ken has a white dog.
translate ASL to English: TABLE DOG WALK,The dog is walking around the table.
translate ASL to English: DOG BARK,A dog is barking.
translate ASL to English: CHAIR DOG JUMP,The dog jumped over a chair.
translate ASL to English: FISH DOG EAT,"The dog ate the fish, bones, tail and all."
translate ASL to English: DOG CHAIN,Is the dog chained?
translate ASL to English: DARK DOG SEE,A dog can see in the dark.
translate ASL to English: BLACK DOGS SEE,Dogs see in black and white.
translate ASL to English: MAN DOG BITE,The dog bit the man.
translate ASL to English: MAN DOG SIT,The dog sat down by the man.
translate ASL to English: WHITE DOG KNOW,The dog knows black from white.
translate ASL to English: FIELD PEOPLE WORK,Many people work in this field now.
translate ASL to English: IT I DO,I'll do it later on.
translate ASL to English: ACCIDENT HAPPEN,An accident has happened.
translate ASL to English: ARROW TIME FLY,Time flies like an arrow.
translate ASL to English: WHAT YOU DO,Do what you like.
translate ASL to English: YOU EAT,You can eat and drink as much as you want.
translate ASL to English: I LIKE,I'd like to go.
translate ASL to English: YOU GO,Go when you want.
translate ASL to English: YOU GO,You can go wherever you want to go.
translate ASL to English: WHO GO,Those who do not wish to go need not go.
translate ASL to English: DANCE YOU HAVE,You do not have to go to the dance unless you want to.
translate ASL to English: CHOICE WE HAVE,We have no choice but to go.
translate ASL to English: YOU GO,"You can go now, sir."
translate ASL to English: BLACK I SEE,I saw a woman in black.
translate ASL to English: ME DOG BITE,A black and white dog bit me.
translate ASL to English: BONES I LIKE,I don't like to eat fish with many bones.
translate ASL to English: WALK I FEEL,I feel like taking a walk now.
translate ASL to English: IT SNOW,It is snowing now.
translate ASL to English: IT WOMAN GO,A woman is going into it now.
translate ASL to English: PIZZA I GO,I could go for a nice hot pizza right now.
translate ASL to English: I HAVE,Do I have to go right now?
translate ASL to English: IT YOU DO,You had better do it right now.
translate ASL to English: I LIKE,I'd like to check out right now.
translate ASL to English: I GO,Need I go right now?
translate ASL to English: I COME,I'll come right now.
translate ASL to English: BUS YOU LEAVE,Leave right now and you will be in time for the bus.
translate ASL to English: IT YOU HAVE,You do not have to do it now.
translate ASL to English: THIS DO,This will do for now.
translate ASL to English: NOTHING I WANT,Right now I want for nothing.
translate ASL to English: BED YOU GO,You should go back to bed now.
translate ASL to English: DRINK I NEED,I really need a drink now.
translate ASL to English: WALK I WANT,I don't want to take a walk now.
translate ASL to English: IT RAIN,It is raining now.
translate ASL to English: IT LET,I'll let it go this time.
translate ASL to English: IT FAIL,This time it does not fail.
translate ASL to English: DOCTOR I GO,I will go to the doctor this afternoon.
translate ASL to English: THINGS I HAVE,I have many things to do now.
translate ASL to English: SCHOOL YOU WEAR,What shirt will you wear to school today?
translate ASL to English: YEAR HARVEST FALL,This year's harvest will fall short of last year.
translate ASL to English: YEAR HARVEST FALL,This year's harvest will fall short of that of last year.
translate ASL to English: OURSELVES 'S LET,Let's forget to study and enjoy ourselves tonight.
translate ASL to English: BOOKSTORE I WANT,For the time being I want to work at that bookstore.
translate ASL to English: YEAR STEAL,The year stole by.
translate ASL to English: MAN TIME WAIT,Time and tide wait for no man.
translate ASL to English: BED YOU GO,What time did you go to bed last night?
translate ASL to English: YEAR SPRING COME,Spring has come later this year compared with last year.
translate ASL to English: WHAT YOU DO,What did you do last evening?
translate ASL to English: WHAT HAPPEN,What happened last night?
translate ASL to English: BED YOU GO,When did you go to bed last night?
translate ASL to English: WORK FINISH,The work was all but finished.
translate ASL to English: OURSELVES 'S LET,Let's finish the work quickly and enjoy ourselves.
translate ASL to English: WORK MARCH,The work is marching right along.
translate ASL to English: WORK DO,Almost all the work is done now.
translate ASL to English: DARK CHILDREN LIKE,Children don't like to go out in the dark.
translate ASL to English: BED IT GO,All of the children had gone to bed before it got dark.
translate ASL to English: BED CHILDREN GO,All the children went to bed.
translate ASL to English: CHILDREN LIKE,Children like to play outside now.
